,onnxruntime__fail,tensorrt__fail,tvm__fail,openvino__fail,torchscript__fail,torch_compile__fail,xla__fail,tensorflow__fail,tflite__fail,onnxruntime__pass,tensorrt__pass,tvm__pass,openvino__pass,torchscript__pass,torch_compile__pass,xla__pass,tensorflow__pass,tflite__pass
conv_bn_fusion_both_paths,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
conv_bn_hardsigmoid_v2,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
conv_bn_hardswish,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
conv_bn_leakyrelu,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
conv_bn_leakyrelu_maxpool,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False
conv_bn_relu,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
conv_bn_relu6,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
conv_bn_relu_maxpool,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False
conv_bn_selu,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
conv_bn_sigmoid,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
conv_bn_silu,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
conv_bn_swish,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
conv_branch_add,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
conv_celu,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False
conv_clip_conv_clip_mbv2,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
conv_elu,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
conv_geglu,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
conv_gelu,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
conv_hardsigmoid,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
conv_hardswish,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
conv_k5_pad2,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
conv_k7_stride2,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
conv_manual_celu,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
conv_manual_hardsigmoid,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
conv_manual_hardswish,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
conv_manual_selu,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
conv_pixel_shuffle,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
conv_prelu_channel,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
conv_relu_concat_maxpool,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False
conv_relu_conv_bn,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
conv_samepad_stride_gt1,False,False,False,False,True,True,False,False,False,True,True,True,True,False,False,True,True,True
conv_selu,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
conv_shrink,False,False,False,False,True,True,False,False,False,True,True,True,True,False,False,True,True,True
conv_softplus,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
conv_softsign,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
conv_tanh_head,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
conv_thresholded_relu,False,False,False,False,True,True,False,False,False,True,True,True,True,False,False,True,True,True
conv_transpose_bn_relu,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False
conv_transpose_channel_reorder,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
conv_transpose_crop,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False
convtranspose_autopad_same,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False
convtranspose_grouped,False,False,False,False,False,False,True,False,True,True,True,True,True,True,True,False,True,False
convtranspose_stride2_pad1,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False
cos_unary,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
cosh_unary,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False
cp_assoc_bf16_1e4,False,False,False,False,True,True,False,False,False,True,True,True,True,False,False,True,True,True
cp_assoc_bf16_1e8,False,False,False,False,True,True,False,False,False,True,True,True,True,False,False,True,True,True
cp_assoc_fp16_1e3,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
cp_assoc_fp16_1e4,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
cp_cast_fp16_relu,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
cp_cast_fp16_sigmoid,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
cp_cast_fp16_tanh,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
cp_fp16_matmul_n1024,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
cp_fp16_matmul_n128,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
cp_fp16_matmul_n2048,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
cp_fp16_matmul_n512,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
cp_roundtrip_bf16_mid,False,False,False,False,True,True,False,False,False,True,True,True,True,False,False,True,True,True
cp_roundtrip_bf16_small,False,False,False,False,True,True,False,False,False,True,True,True,True,False,False,True,True,True
cp_roundtrip_bf16_tiny,False,False,False,False,True,True,False,False,False,True,True,True,True,False,False,True,True,True
cp_roundtrip_fp16_small,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
cp_roundtrip_fp16_tiny,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
cp_roundtrip_int32_trunc,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
cp_roundtrip_int32_trunc_neg,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
crms_norm,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
cross_attention,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
cross_attention_fixed_kv,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
cumsum,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
cumsum_last_axis,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
cumsum_normalize,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
dense_residual_block,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
depth_to_space_block,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
depth_to_space_dcr,False,False,False,False,True,True,False,False,False,True,True,True,True,False,False,True,True,True
depthwise_conv_bn_relu,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
depthwise_conv_k3,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
dilated_branch_sum,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
dilated_conv_bn_relu,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
dilated_max_pool,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False
div_by_constant,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
double_layernorm,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
double_sqrt_fourth_root,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
double_transpose,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
dual_pool_add,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False
dw_pw_block,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
dynamic_shape_reshape,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False
ei_add_subnormal_add_0,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
ei_div_x_div_zero,False,False,True,False,False,False,False,False,False,True,True,False,True,True,True,True,True,True
ei_div_zero_div_zero,False,False,True,False,False,False,False,False,False,True,True,False,True,True,True,True,True,True
ei_exp_nan,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
ei_exp_neg_inf,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
ei_exp_pos_inf,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
ei_log_nan,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
ei_log_neg,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
ei_log_zero,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
ei_max_nan_vs_1,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
ei_max_neginf_vs_1,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
ei_min_inf_vs_1,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
ei_min_nan_vs_1,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
ei_mul_subnormal_mul_1,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
ei_neg_nan,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
ei_pow_zero_pow_neg,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
ei_pow_zero_pow_zero,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
ei_reciprocal_neg_zero,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
ei_reciprocal_zero,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
ei_reducelogsumexp_overflow,True,True,False,False,True,True,True,True,True,False,False,True,True,False,False,False,False,False
ei_relu_nan,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
ei_relu_neg_inf,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
ei_sigmoid_subnormal,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
ei_softmax_neg_inf,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
ei_sqrt_neg,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
ei_sqrt_neg_zero,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
ei_tanh_subnormal,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
einsum_batched_matmul,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
einsum_dot_product,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
einsum_transpose,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
elu_activation,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
elu_scale,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
embed_layernorm_sum,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
equal_binary,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
erf_unary,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False
euclidean_norm_broadcast,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
exp_div_softplus,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
expand_add_mul,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
expand_noop_identity,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
expand_right_align,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
expand_squeeze,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
expm1_bounded,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
eyelike_identity,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
fake_quant_per_channel,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False
fake_quant_per_tensor,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False
ffn_with_dropout,False,False,True,False,False,False,False,False,False,True,True,False,True,True,True,True,True,True
film_conditioning,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
flatten_axis2_restore,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
flatten_dense_unflatten,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
flatten_gemm,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
flatten_unsqueeze_concat,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
flex_attention_precision_sdpa,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
floor_ceil_round,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
floor_unary,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
foldable_add_zero_mul_one,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
foldable_sub_zero_div_one,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
four_branch_average,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
fpn_branch,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
gap_linear,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
gated_linear_branch,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
gated_mlp_block,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
gated_residual,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
gather_axis0_rows,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gather_channel_permute,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
gather_elements_channel,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
gather_layernorm,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
gather_nd_diagonal,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gather_reshape,False,False,False,True,False,False,False,False,False,True,True,True,False,True,True,True,True,True
gather_slice_combo,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
gelu_approx,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
gelu_exact_erf,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
gemm_alpha_beta_transb,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
gemm_relu,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
gemm_sigmoid,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
gemm_tanh,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
gemm_transa_fp32,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
global_branch_mul,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
global_lppool_p2,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False
global_max_pool_bare,False,False,False,False,True,True,False,False,False,True,True,True,True,False,False,True,True,True
glu,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
graph_opt_broken_add_shape,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
greater_binary,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
greaterorequal_binary,False,False,False,False,True,True,False,False,False,True,True,True,True,False,False,True,True,True
grid_sample_bilinear_border,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False
group_query_attention,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
grouped_conv_bn_relu,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False
grouped_conv_g2,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False
groupnorm_manual_chain,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
groupnorm_relu,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
groupnorm_silu,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
hard_clamp_norm,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
hard_swish,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
hardsigmoid_activation,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
hardswish_activation,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
ia_bitshift_left_shift31_u32,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False
ia_bitshift_left_shift32_u32_l,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False
ia_bitshift_right_shift1_ok,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False
ia_bitshift_right_shift32_u32,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False
ia_bitshift_right_shift33_u32,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False
ia_bitshift_right_shift64_u32,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False
ia_intdiv_int32_min_plus_by_m1,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
ia_intdiv_truncate_neg,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
ia_intdiv_truncate_neg_rhs,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
ia_mod_fmod_negpos_f,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False
ia_mod_fmod_posneg_f,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False
ia_mod_py_negpos,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False
ia_mod_py_posneg,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False
ia_qdq_int8_s0p1_zp0,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False
ia_qdq_int8_s0p5_zp_m10,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False
ia_qdq_int8_tiny,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False
ia_qdq_uint8_big,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False
ia_qdq_uint8_s0p02_zp0,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False
ia_qdq_uint8_s0p1_zp128,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False
ia_qlinearmm_int8_bignzp,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False
ia_qlinearmm_int8_small,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False
ia_qlinearmm_int8_tiny,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False
ia_qlinearmm_uint8_small,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False
ia_qlinearmm_uint8_wide,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False
ia_sat_add_int32_overflow,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
ia_sat_add_int8_overflow,True,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True
ia_sat_add_uint8_overflow,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True
ia_sat_mul_int32_overflow,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
ia_sat_mul_uint8_overflow,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True
ia_sat_sub_int8_underflow,True,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True
ia_sat_sub_uint8_underflow,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True
identity_chain,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
identity_chain_two,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
inception_v3_branch,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
inference_dropout_foldconst,False,False,True,False,False,False,False,False,False,True,True,False,True,True,True,True,True,True
instance_norm_1d,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
instance_normalization_native,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
instancenorm_relu,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
inverted_residual,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
kv_cache_attention,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
l2_norm,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
l2_norm_manual_primitives,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
l2_normalize,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
layer_norm_manual_chain,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
layernorm_axis1,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
layernorm_chain_multichoice_3d,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
layernorm_dropout_identity,False,False,True,False,False,False,False,False,False,True,True,False,True,True,True,True,True,True
layernorm_gate,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
layernorm_relu,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
layernorm_residual_add,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
layernorm_temperature,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
learned_temperature_scale,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
less_binary,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
lessorequal_binary,False,False,False,False,True,True,False,False,False,True,True,True,True,False,False,True,True,True
linear_layernorm_gelu,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
log1p_abs,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
log_abs_eps,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
log_clamp,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
log_exp_cancel,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
log_softmax_chain,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
logsumexp_step,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
lp_normalize_p2,False,False,True,False,True,True,True,True,True,True,True,False,True,False,False,False,False,False
lppool_p2,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False
lrn_pattern,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False
manual_celu,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
manual_group_norm,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
manual_hard_swish,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
manual_hardsigmoid,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
manual_layernorm,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
manual_rmsnorm_last_axis,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
manual_selu,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
manual_shrink,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
manual_softsign,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
manual_thresholded_relu,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
matmul_4d_batch,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
matmul_add_biasgelu_bcast,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
matmul_add_layernorm,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
matmul_bias_gelu,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
matmul_bias_relu,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
matmul_bias_sigmoid,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
matmul_bias_tanh,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
matmul_residual_projection,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
matmul_scale_add_bias,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
matmul_scale_softmax,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
max_avg_pool_fusion,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False
max_binary,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
max_variadic_4inputs,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
maxpool_dilation_2,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False
maxpool_global_avg,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False
maxpool_resize_scale,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False
maxpool_resize_unpool,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False
mean_binary,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
mean_variance_manual_norm,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
mean_variance_normalization,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False
min_binary,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
min_variadic_4inputs,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
mish_activation,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
mod_binary,True,True,False,True,False,False,True,True,True,False,False,True,False,True,True,False,False,False
mul_add_mul_chain,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
mul_add_relu,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
mul_by_one_chain,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
mul_by_reciprocal,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
mul_self_to_pow,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
mul_zero_elim,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
multi_head_self_attention,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
multi_query_attention,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
multi_scale_conv_branch,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
neg_abs_identity,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
neg_neg_cancel,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
neg_unary,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
one_hot_constant_idx,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False
pad_avgpool_manual,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False
pad_conv,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
pad_edge_mode,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
pad_grouped_conv_manual,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False
pad_int64_variable,False,False,False,False,True,True,False,False,False,True,True,True,True,False,False,True,True,True
pad_reflect_asymmetric,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
