,onnxruntime__fail,tensorrt__fail,tvm__fail,openvino__fail,torchscript__fail,torch_compile__fail,xla__fail,tensorflow__fail,tflite__fail,onnxruntime__pass,tensorrt__pass,tvm__pass,openvino__pass,torchscript__pass,torch_compile__pass,xla__pass,tensorflow__pass,tflite__pass
conv_k5_d1_full_b1_v4_8,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
conv_k5_d1_full_b0_v4_9,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
conv_k5_d2_full_b1_v4_10,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
conv_k5_d1_dw_b1_v4_11,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
conv_k7_d1_full_b1_v4_12,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
conv_k7_d1_full_b0_v4_13,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
conv_k7_d1_dw_b1_v4_14,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
conv_k7_d2_dw_b1_v4_15,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
conv_k1_d1_dw_b1_v4_16,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
conv_k3_d4_dw_b1_v4_17,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
conv_k3_d1_g2_b1_v4_18,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False
conv_k3_d1_g4_b1_v4_19,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False
conv_k5_d1_g2_b1_v4_20,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False
conv_k3_d3_dw_b1_v4_21,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
conv_k3_d2_g2_b1_v4_22,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False
conv_k5_d2_dw_b1_v4_23,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
convt_k2_s2_b0_v4_0,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False
convt_k2_s2_b1_v4_1,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False
convt_k3_s2_b0_v4_2,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False
convt_k4_s2_b1_v4_3,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False
convt_k2_s1_b1_v4_4,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False
convt_k3_s1_b0_v4_5,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False
convt_k4_s4_b1_v4_6,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False
convt_k3_s3_b1_v4_7,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False
mm_matmul_DxD_v4_0,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
